362;Kacey Musgraves;2013;	 
361;Jimmy Cliff;1972;	 
360;Prince;1982;	 
359;Fugees;1996;	 
358;Patti Smith;1978;	 
357;Cheap Trick;1978;	 
356;Thelma Houston;1976;	 
355;Michael Jackson;1979;	 
354;Eurythmics;1983;	 
353;Ice Cube;1992;	 
352;Jorge Ben;1976;	 
351;John Prine;1971;	 
350;The Zombies;1968;	 
349;Roxy Music;1972;	 
348;Elvis Presley;1958;	 
347;BTS;2020;	 
346;Carole King;1971;	 
345;Black Sabbath;1971;	 
344;The Doobie Brothers;1979;	 
343;Chuck Berry;1964;	 
342;The Monkees;1966;	 
341;The Clash;1978;	 
340;Prince;1982;	 
339;Black Sabbath;1970;	 
338;Cher;1998;	 
337;Hall and Oates;1973;	 
336;Marshall Jefferson;1986;	 
335;The Grateful Dead;1970;	 
334;The Temptations;1972;	 
333;Rihanna ft.Jay-Z;2007;	 
332;The Marvelettes;1961;	 
331;The Notorious B.I.G;1994;	 
330;Bad Bunny;2020;	 
329;Red Hot Chili Peppers;1991;	 
328;Mary J. Blige;1992;	 
327;Rilo Kiley;2004;	 
326;Iggy Pop;1977;	 
325;Billy Joel;1977;	 
324;Everly Brothers;1958;	 
323;Neil Young;1970;	 
322;U2;1987;	 
321;2Pac;1995;	 
320;Taylor Swift;2014;	 
319;Tears For Fears;1985;	 
318;Big Mama Thornton;1953;	 
317;Bob Dylan;1966;	 
316;The Shangri-Las;1966;	 
315;John Coltrane;1965;	 
314;The Stooges;1969;	 
313;Smokey Robinson and the Miracles;1967;	 
312;Isaac Hayes;1969;	 
311;The Eagles;1976;	 
310;The Doors;1967;	 
309;Bill Withers;1971;	 
308;Liz Phair;1993;	 
307;Gnarls Barkley;2006;	 
306;Aretha Franklin;1967;	 
305;The Police;1983;	 
304;Kraftwerk;1977;	 
303;TLC;1999;	 
302;Pink Floyd;1975;	 
301;Bob Seger;1976;	 
300;The B-52s;1978;	 
299;Screamin' Jay Hawkins;1956;	 
298;Bruce Springsteen;1975;	 
297;The Beach Boys;1966;	 
296;Bikini Kill;1993;	 
295;The Who;1971;	 
294;The Velvet Underground;1970;	 
293;Alice Cooper;1972;	 
292;A Tribe Called Quest;1990;	 
291;Phil Collins;1981;	 
290;Usher ft. Lil Jon and Ludacris;2001;	 
289;Bruce Springsteen;1982;	 
