"Title";"Artist";"Cover";"Year";"Genre";"Rank";"Type"
"The Bends";"Radiohead";"TheBendsCover.png";"1995";"alternative";"276";"a"
"The Diary of Alicia Keys";"Alicia Keys";"DiaryOfAliciaKeysCover.jpg";"2003";"r-b";"277";"a"
"Houses of the Holy";"Led Zeppelin";"HousesoftheHolyCover.jpg";"1973";"rock";"278";"a"
"MTV Unplugged in the New York";"Nirvana ";"MTVUnpluggedinNewYorkCover.png";"1994";"grunge";"279";"l"
"Get Rich or Die Tryin'";"50 Cent";"GetRichOrDieTryinCover.jpg";"2003";"hip-hop";"280";"a"
"Nilsson Schmilsson";"Harry Nilsson";"NilssonSchmilssonCover.png";"1971";"rock";"281";"a"
"In the Wee Small Hours";"Frank Sinatra";"WeeSmallHoursCover.jpg";"1955";"pop";"282";"a"
"Bad Girls";"Donna Summer";"BadGirlsCover.jpg";"1979";"pop";"283";"a"
"Down Every Road";"Merle Haggard";"DownEveryRoadCover.jpg";"1996";"country";"284";"c"
"Third-Sister Lovers";"Big Star";"ThirdSisterLoversCover.jpg";"1975";"pop";"285";"a"
"Californication";"Red Hot Chili Peppers";"CalifornicationCover.jpg";"1999";"rock";"286";"a"
"Mr. Tambourine Man";"Byrds";"MrTambourineManCover.jpg";"1965";"folk";"287";"a"
"The Modern Lovers";"Modern Lovers";"TheModernLoversCover.jpg";"1976";"alternative";"288";"a"
"Post";"Björk";"PostCover.png";"1995";"electronic";"289";"a"
"Speakerboxxx-The Love Below";"Outkast";"SpeakerboxxxTheLoveBelowCover.png";"2003";"hip-hop";"290";"a"
"The Writing's on the Wall";"Destiny's Child";"TheWritingsontheWallCover.jpg";"1999";"pop";"291";"a"
"Van Halen";"Van Halen";"VanHalenCover.jpg";"1978";"rock";"292";"a"
"Last Splash";"Breeders";"LastSplashCover.jpg";"1993";"alternative";"293";"a"
"Weezer";"Weezer";"WeezerCover.png";"1994";"alternative";"294";"a"
"Random Access Memories";"Daft Punk";"RandomAccessMemoriesCover.png";"2013";"dance";"295";"a"
"Rust Never Sleeps";"Neil Young";"RustNeverSleepsCover.jpg";"1979";"folk";"296";"a"
"So";"Peter Gabriel";"SoCover.png";"1986";"pop";"297";"a"
"Full Moon Fever";"Tom Petty";"FullMoonFeverCover.jpg";"1989";"rock";"298";"a"
"Live at the Regal";"B. B. King";"LiveattheRegalBBCover.jpg";"1964";"blues";"299";"l"
"Come On Over";"Shania Twain";"ComeOnOverCover.png";"1997";"country";"300";"a"
