"Title";"Artist";"Cover";"Year";"Genre";"Rank";"Type"
"Super Fly";"Curtis Mayfield";"SuperflyCover.jpg";"1972";"soul";"076";"s"
"Who's Next";"Who";"WhosnextCover.jpg";"1971";"rock";"077";"a"
"The Sun Sessions";"Elvis Presley";"TheSunSessionsCover.jpg";"1976";"rock";"078";"c"
"Blonde";"Frank Ocean";"BlondeCover.jpg";"2016";"r-b";"079";"a"
"Never Mind the Bollocks";"Sex Pistols";"NeverMindCover.png";"1977";"punk";"080";"a"
"Beyoncé";"Beyoncé";"BeyonceCover.png";"2013";"pop";"081";"a"
"There's a Riot Goin' On";"Sly and Fam. Stone";"RiotgoingonCover.jpg";"1971";"funk";"082";"a"
"Dusty in Memphis";"Dusty Springfield";"DustyInMemphisCover.jpg";"1969";"pop";"083";"a"
"Back in Black";"ACDC";"BackinBlackCover.png";"1980";"rock";"084";"a"
"John Lennon";"Plastic Ono Band";"JLPOBCover.jpg";"1970";"rock";"085";"a"
"The Doors";"Doors";"TheDoorsCover.jpg";"1967";"rock";"086";"a"
"Bitches Brew";"Miles Davis";"BitchesBrewCover.jpg";"1969";"jazz";"087";"a"
"Hunky Dory";"David Bowie";"HunkyDoryCover.jpg";"1971";"rock";"088";"a"
"Baduizm";"Erykah Badu";"BaduizmCover.jpg";"1997";"hip-hop";"089";"a"
"After the Gold Rush";"Neil Young";"AftertheGoldRushCover.jpg";"1970";"folk";"090";"a"
"Darkness on the Edge";"Springsteen";"DarknessontheEdgeofTownCover.jpg";"1978";"rock";"091";"a"
"Axis: Bold as Love";"Jimi Hendrix";"AxisCover.jpg";"1967";"rock";"092";"a"
"Supa Dupa Fly";"Missy Elliott";"SupaDupaFlyCover.jpg";"1997";"hip-hop";"093";"a"
"Fun House";"Stooges";"FunHouseCover.jpg";"1970";"rock";"094";"a"
"Take Care";"Drake";"TakeCareCover.jpg";"2011";"r-b";"095";"a"
"Automatic for the People";"R.E.M.";"AutomaticforthePeopleCover.jpg";"1992";"alternative";"096";"a"
"Master of Puppets";"Metallica";"MasterofPuppetsCover.jpg";"1986";"metal";"097";"a"
"Car Wheels Gravel Road";"Lucinda Williams";"CarWheelsonaGravelRoadCover.jpg";"1998";"country";"098";"a"
"Red";"Taylor Swift";"RedCover.png";"2012";"pop";"099";"a"
"Music from Big Pink";"Band";"BigpinkCover.jpg";"1968";"rock";"100";"a"
