"Title";"Artist";"Cover";"Year";"Genre";"Rank"
"The Great Twenty-Eight";"Chuck Berry";"TheGreatTwentyEightCover.png";"1982";"blues";"051"
"Station to Station";"David Bowie";"StationtoStationCover.jpg";"1976";"rock";"052"
"Electric Ladyland";"Jimi Hendrix Exp.";"ElectricLadylandCover.jpg";"1968";"rock";"053"
"Star Time";"James Brown";"StarTimeCover.jpg";"1991";"funk";"054"
"The Dark Side of the Moon";"Pink Floyd";"DarkSideoftheMoonCover.png";"1973";"rock";"055"
"Exile in Guyville";"Liz Phair";"ExileinGuyvilleCover.jpg";"1993";"indie";"056"
"The Band";"The Band";"TheBandCover.jpg";"1969";"rock";"057"
"Led Zeppelin IV";"Led Zeppelin";"LedZeppelinIVCover.jpg";"1971";"rock";"058"
"Talking Book";"Stevie Wonder";"TalkingBookCover.jpg";"1972";"soul";"059"
"Astral Weeks";"Van Morrison";"AstralWeeksCover.jpg";"1968";"folk";"060"
"Paid in Full";"Eric B. & Rakim";"PaidInFullCover.jpg";"1987";"hip-hop";"061"
"Appetite for Destruction";"Guns N' Roses";"AppetiteforDestructionCover.jpg";"1987";"rock";"062"
"Aja";"Steely Dan";"AjaCover.jpg";"1977";"fusion";"063"
"Stankonia";"Outkast";"StankoniaCover.jpg";"2000";"hip-hop";"064"
"Live at the Apollo";"James Brown";"LiveattheApolloCover.jpg";"1963";"funk";"065"
"A Love Supreme";"John Coltrane";"ALoveSupremeCover.jpg";"1964";"jazz";"066"
"Reasonable Doubt";"Jay-Z";"ReasonableDoubtCover.jpg";"1996";"hip-hop";"067"
"Hounds of Love";"Kate Bush";"HoundsofLoveCover.png";"1985";"pop";"068"
"Jagged Little Pill";"Alanis Morissette";"JaggedLittlePillCover.jpg";"1995";"alternative";"069"
"Straight Outta Compton";"N.W.A";"StraightOuttaComptonCover.jpg";"1987";"hip-hop";"070"
"Renaissance";"Beyoncé";"RenaissanceCover.png";"2022";"pop";"071"
"Harvest";"Neil Young";"HarvestCover.jpg";"1972";"folk";"072"
"Loveless";"My Bloody Valentine";"LovelessCover.png";"1991";"alternative";"073"
"The College Dropout";"Kanye West";"CollegedropoutCover.jpg";"2004";"hip-hop";"074"
"Lady Soul";"Aretha Franklin";"LadySoulCover.jpg";"1968";"soul";"075"
