"Title";"Artist";"Cover";"Year";"Genre"
"Low";"David Bowie";"Low_(album).jpg";"1977";"Pop"
"Hunky Dory";"David Bowie";"David_Bowie_-_Hunky_Dory.jpg";"1971";"Pop"
